training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.44842434,0.834147,-7.4337044,-77.66054,-97.28243,4.95301,-6.0942616,68.10004,-7.4394574,-77.3639,-97.254944,0.13498287,0.0016668839454650878,626.1601529121399,250000
0.48570815,1.4160545,0.0,-76.32775,-97.423996,10.22603,-9.997998,98.257515,3.6370711,-76.172844,-97.39758,0.101599365,0.0017241445541381836,634.7808794975281,255000
0.4603839,1.2504522,-13.4727545,-79.29912,-97.313255,10.38029,-10.921321,82.96265,-14.004667,-79.11519,-97.301765,0.048722863,0.0017174328804016113,643.3680472373962,260000
0.49024794,14.946779,0.0,-78.341965,-96.78766,139.81546,-188.45702,879.4438,-4.3010626,-78.235504,-96.756935,0.5382758,0.001765640926361084,652.1962552070618,265000
0.45240682,4.3558846,0.0,-78.071976,-97.012985,33.502995,-32.105278,255.13895,-5.083759,-77.777885,-96.99265,0.95088077,0.0017365554332733155,660.879035949707,270000
0.4060173,1.0653195,0.0,-77.22444,-97.18461,6.2877126,-6.486073,76.76738,2.1906533,-77.036026,-97.13831,0.083939895,0.0017238204002380372,669.4981412887573,275000
0.4747361,1.9517727,0.0,-79.512405,-97.30289,23.302088,-24.525152,176.1001,-0.56452304,-79.36909,-97.29557,0.07645184,0.0017471635818481445,678.2339627742767,280000
0.45540005,4.311307,-4.3978567,-77.177345,-97.10493,33.982296,-20.012894,253.24205,-6.265946,-76.993835,-97.093956,0.16283157,0.001732959222793579,686.8987622261047,285000
0.46450484,1.0127201,-5.0068502,-79.31554,-96.980194,9.378963,-5.2006474,75.02164,-5.2204595,-79.10423,-96.97638,0.072932266,0.001731827974319458,695.5579059123993,290000
0.44572288,0.89793026,-9.152045,-79.20235,-96.63822,10.958132,-8.226423,78.45957,-8.679336,-79.026955,-96.611664,0.052916493,0.001733625841140747,704.2260389328003,295000
0.43772197,1.3503845,-7.599896,-80.02728,-96.85996,19.12863,-19.995754,131.82077,-8.290107,-79.79306,-96.81799,0.0831613,0.0017335436344146729,712.8937602043152,300000
0.39252174,2.1519308,0.0,-78.541626,-96.72223,6.1547036,-9.01445,94.79541,0.519106,-78.26738,-96.70164,0.10106305,0.010830489778518677,767.0462129116058,305000
0.48235753,1.393579,-9.973332,-77.632774,-96.6039,66.42479,-60.429436,339.9285,-9.573479,-77.4328,-96.61592,0.07430321,0.0017603273868560792,775.8478534221649,310000
0.43677855,2.0420709,-9.739727,-79.337875,-96.35777,16.21348,-12.567604,125.137985,-7.982357,-79.12068,-96.3299,0.17631854,0.0017295032501220703,784.4953730106354,315000
0.45623624,1.3062251,0.0,-79.933914,-96.385826,17.2395,-14.224481,194.35353,-0.36421737,-79.78296,-96.32391,0.2679393,0.0017548252105712891,793.2695026397705,320000
0.4702508,1.9319125,0.0,-77.62621,-96.081924,28.963282,-16.551878,234.75502,0.21909596,-77.5744,-96.056786,0.49877942,0.001768421983718872,802.111615896225,325000
0.47336227,1.2634993,-14.604159,-78.220375,-95.9963,10.845693,-18.335783,98.68725,-13.60565,-77.991516,-95.997215,0.05529396,0.0017549304962158204,810.8862714767456,330000
0.441598,0.9831046,-23.431093,-79.77933,-95.71434,9.374213,-10.44342,78.589134,-22.673351,-79.62096,-95.67709,0.1277472,0.0017536696910858153,819.6546244621277,335000
0.4510552,2.853955,-10.432013,-80.468025,-95.888504,32.0802,-21.135315,234.04037,-8.073594,-80.23032,-95.84485,0.10735087,0.0017094496250152588,828.2018766403198,340000
0.45505178,3.0748208,0.0,-77.13069,-95.19674,76.93203,-39.73458,341.14435,0.08230707,-76.883575,-95.12239,0.23371199,0.0017279744625091553,836.8417522907257,345000
